"ASV_ID","Module_Color","MM","p.MM","GS","p.GS","Class","Order","Family","Genus","Species","Taxa2","Trait"
"18S_ASV_748","black",0.43061760573971,0.00314916353971191,-0.512413895546267,0.000320012952574476,NA,NA,NA,NA,NA,"Stramenopiles","Bdo"
"18S_ASV_916","black",0.402943368382402,0.00606263777881939,-0.45931307164082,0.0015042784399308,"Bicoecea","Pseudodendromonadales","Pseudodendromonadales_X","Pseudodendromonadales_XX","Pseudodendromonadales_XX_sp.","Stramenopiles","Bdo"
"16S_ASV_415","black",0.484110914043719,0.000753149909254052,-0.450673484790982,0.00189168921210009,"Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","FukuN18-freshwater-group",NA,"FukuN18-freshwater-group","Bdo"
"16S_ASV_240","black",0.484455573313933,0.000745667088726407,-0.444052144794024,0.00224593975854245,"Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","FukuN18-freshwater-group",NA,"FukuN18-freshwater-group","Bdo"
"16S_ASV_358","black",0.481618625200018,0.000809290821099004,-0.443657994953716,0.00226876417165027,"Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","FukuN18-freshwater-group",NA,"FukuN18-freshwater-group","Bdo"
"18S_ASV_32","black",0.39588354627889,0.00710475985965656,-0.425145707137801,0.00360013474746404,"Arthropoda","Crustacea","Maxillopoda","Eudiaptomus","Eudiaptomus_graciloides","Opisthokonta_Arthropoda","Bdo"
"16S_ASV_519","black",0.468615365323937,0.00116747273403223,-0.418135935659701,0.00425995701004171,"Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","FukuN18-freshwater-group",NA,"FukuN18-freshwater-group","Bdo"
"16S_ASV_6","black",0.953179609451174,5.85935951530879e-24,-0.382722405099787,0.00946585098544327,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_183","black",0.989018102858045,2.41300322314751e-37,-0.348747184881219,0.0188806820942898,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_196","black",0.966059265696125,6.60424835763298e-27,-0.348744817784117,0.0188815447100111,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_172","black",0.98355845116471,1.34088743970309e-33,-0.345867546180564,0.0199549524533844,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_54","black",0.971073153367157,2.23321184176381e-28,-0.342583641988277,0.0212423844461529,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_237","black",0.991103738212726,2.65992329351814e-39,-0.339872512461191,0.0223571885774855,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_71","black",0.962969596285805,4.16834378600747e-26,-0.337379318263589,0.0234252789496224,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_164","black",0.994813911972494,2.52230308453401e-44,-0.337338772977602,0.0234429954907458,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_117","black",0.988886795851365,3.11155735809797e-37,-0.336992723898125,0.0235946608707849,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_245","black",0.989590790699087,7.67227026818894e-38,-0.33414581378229,0.0248738380406178,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_236","black",0.98907832365504,2.14522014324106e-37,-0.333301350484947,0.0252642276278182,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_125","black",0.9896534504927,6.74239796923841e-38,-0.333176402301382,0.0253224223286036,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_85","black",0.992869564483878,2.3250960893406e-41,-0.332524602855547,0.0256278154639781,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_190","black",0.991930308295908,3.29503993978812e-40,-0.332403971373463,0.0256846715503316,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_148","black",0.953321873074363,5.496090825758e-24,-0.332094608966974,0.0258309614823439,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_159","black",0.990832658092463,5.05804321601045e-39,-0.331649750232839,0.0260425418749494,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_309","black",0.990543608884447,9.83129373841519e-39,-0.331533847711965,0.0260979032088787,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_334","black",0.990001035737776,3.24510362714029e-38,-0.331422307993851,0.0261512732379585,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_200","black",0.989913630928108,3.90950345152904e-38,-0.33040666186272,0.0266414432223577,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_231","black",0.973526660866854,3.40341384554411e-29,-0.330328075054829,0.0266796875621817,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_95","black",0.993365300135405,4.96270682165634e-42,-0.329594023746075,0.0270391277029265,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum",NA,"Dolichospermum","Bdo"
"18S_ASV_27","black",0.403732399293445,0.0059548655609613,-0.329216363199873,0.0272256202685372,"Chlorophyceae","Sphaeropleales","Sphaeropleales_X","Ankyra","Ankyra_judayi","Chlorophyta","Bdo"
"16S_ASV_157","black",0.978595452838699,3.7085802489457e-31,-0.327665287038381,0.0280028212981919,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_27","black",0.942939169172444,3.71658170665853e-22,-0.32735224120617,0.02816189570185,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_209","black",0.958052992066759,5.79066873381531e-25,-0.326564259771871,0.0285656362195591,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_210","black",0.991058641436841,2.96407760442564e-39,-0.325890129377419,0.0289148478334934,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_141","black",0.989781148729136,5.16893078666031e-38,-0.325083622781815,0.0293372820304952,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_584","black",0.309505103815274,0.0385552149784349,-0.322730452535167,0.030599194881481,"Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus-Aquiluna",NA,"Candidatus-Aquiluna","Bdo"
"16S_ASV_101","black",0.988661245199786,4.78215839999744e-37,-0.319671011214118,0.0323067596214642,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_106","black",0.97650210703375,2.70055118918542e-30,-0.318633800653143,0.0329032309622493,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum",NA,"Dolichospermum","Bdo"
"16S_ASV_67","black",0.978203558737136,5.45675260309467e-31,-0.315561636537539,0.0347235169221094,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_146","black",0.973244486719588,4.26282755936796e-29,-0.306730614234552,0.0404227620583473,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"18S_ASV_395","black",0.449901292231767,0.00193027882457809,-0.297589897249348,0.0471053030169495,"Arthropoda","Crustacea","Maxillopoda",NA,NA,"Opisthokonta_Arthropoda","Bdo"
"16S_ASV_158","black",0.974705256358058,1.2934567499682e-29,-0.297377195233469,0.0472708676716222,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_124","black",0.981552031796884,1.56283736188346e-32,-0.295693877480377,0.0485978559019174,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_11","black",0.948282187752852,4.73637983848049e-23,-0.294098941892676,0.0498828506144952,"Cyanophyceae","Nostocales","Aphanizomenonaceae",NA,NA,NA,"Bdo"
"16S_ASV_161","black",0.967962622120791,1.94608708161631e-27,-0.291726446694851,0.0518450040357185,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_562","black",0.491959327246718,0.000598412192553842,-0.291695848007894,0.0518707113397371,"Actinobacteria","Frankiales","Sporichthyaceae","Candidatus-Planktophila",NA,"Candidatus-Planktophila","Bdo"
"16S_ASV_228","black",0.968030291779321,1.86084904737028e-27,-0.290189253751232,0.0531492433843438,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"16S_ASV_69","black",0.965182044716472,1.13317194752364e-26,-0.2840307540733,0.0586419203369716,"Cyanophyceae","Nostocales","Aphanizomenonaceae",NA,NA,NA,"Bdo"
"16S_ASV_214","black",0.97480734871825,1.18693931937826e-29,-0.282906495335363,0.0596920377942994,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
"18S_ASV_363","black",0.537995579802679,0.000138081029164678,-0.279022628061074,0.0634360245735873,"Arthropoda","Crustacea","Maxillopoda",NA,NA,"Opisthokonta_Arthropoda","Bdo"
"16S_ASV_47","black",0.965126606868667,1.17195633886594e-26,-0.269909908717094,0.0729564121141737,"Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon",NA,"Aphanizomenon","Bdo"
